series,config,theoretical_q,empirical_q
r_1m_raw,NA,-0.7755749428188843,-0.3679460651578535
r_1m_raw,NA,-0.7688202934580621,-0.36431471755332356
r_1m_raw,NA,-0.7621005409950667,-0.3605235048159391
r_1m_raw,NA,-0.7554150263604693,-0.3568002944107301
r_1m_raw,NA,-0.7487631066149087,-0.3526371791939779
r_1m_raw,NA,-0.7421441543954094,-0.34853690086010114
r_1m_raw,NA,-0.7355575573851106,-0.34333759265735375
r_1m_raw,NA,-0.7290027178052185,-0.3385009905022719
r_1m_raw,NA,-0.7224790519280627,-0.33385193522226153
r_1m_raw,NA,-0.7159859896102049,-0.3299276087497597
r_1m_raw,NA,-0.7095229738446082,-0.3263197653887734
r_1m_raw,NA,-0.7030894603309286,-0.32284658773026426
r_1m_raw,NA,-0.6966849170630507,-0.31942495098245305
r_1m_raw,NA,-0.690308823933034,-0.3158437146538416
r_1m_raw,NA,-0.6839606723506823,-0.3120645499046014
r_1m_raw,NA,-0.6776399648779956,-0.30855919482865146
r_1m_raw,NA,-0.6713462148778053,-0.30511433309347363
r_1m_raw,NA,-0.6650789461759234,-0.3015711685572834
r_1m_raw,NA,-0.6588376927361879,-0.29834055169759355
r_1m_raw,NA,-0.652621998347801,-0.2936139428331553
r_1m_raw,NA,-0.6464314163244075,-0.28865494947494186
r_1m_raw,NA,-0.6402655092143741,-0.2836188324574021
r_1m_raw,NA,-0.6341238485217698,-0.28012603055768387
r_1m_raw,NA,-0.6280060144375696,-0.2769545801393916
r_1m_raw,NA,-0.6219115955806241,-0.27420234143164646
r_1m_raw,NA,-0.6158401887479719,-0.27155116600868906
r_1m_raw,NA,-0.6097913986740797,-0.26880977630757674
r_1m_raw,NA,-0.6037648377986299,-0.2654851268635116
r_1m_raw,NA,-0.5977601260424784,-0.26266569777282395
r_1m_raw,NA,-0.5917768905914464,-0.25959262279783835
r_1m_raw,NA,-0.5858147656875988,-0.2565611986295236
r_1m_raw,NA,-0.5798733924277044,-0.25250727075409185
