variable,raw_adjusted,year_month,lag,n_pairs,rho,beta,insufficient_sample,n_boot_used,rho_ci_lo,rho_ci_hi
log_hl,adjusted,2022-02,1,27338,0.6025239099512527,0.6018316731935134,False,50.0,0.5313340905964493,0.650435155469852
log_hl,adjusted,2022-03,1,30871,0.5443489502341795,0.544159882256515,False,50.0,0.48492333896683193,0.5762844220578754
log_hl,adjusted,2022-04,1,27580,0.5159855233669564,0.5153486412299813,False,50.0,0.4637113842697413,0.5519947573827474
log_hl,adjusted,2022-05,1,30096,0.4896802118977809,0.48939205725369567,False,50.0,0.43781633445197604,0.5329562557403462
log_hl,adjusted,2022-06,1,29327,0.4817497445907021,0.48157363976507594,False,50.0,0.4121657998782362,0.5414111276472425
log_hl,adjusted,2022-07,1,28715,0.5179991129933061,0.5175199113092478,False,50.0,0.4437589556588728,0.5631926735546363
log_hl,adjusted,2022-08,1,31713,0.4651525329051943,0.4644663625999702,False,50.0,0.41680562336402355,0.5432020135615317
log_hl,adjusted,2022-09,1,29259,0.5167963695591328,0.5168212398146516,False,50.0,0.4270313751159653,0.5801635402486349
log_hl,adjusted,2022-10,1,28959,0.503142725130842,0.5030633589318045,False,50.0,0.4386398158405189,0.5378649798080106
log_hl,adjusted,2022-11,1,29224,0.5124694728874091,0.5123523374885086,False,50.0,0.42735957665460733,0.5748997242117804
log_hl,adjusted,2022-12,1,28195,0.45198532554517384,0.4434101112692599,False,50.0,0.36598011923990975,0.529065034337073
log_hl,adjusted,2023-01,1,28719,0.4932963227921639,0.4932330231261686,False,50.0,0.40304579391639944,0.5530426121140807
log_hl,adjusted,2023-02,1,27340,0.5758040700220377,0.5758411062765939,False,50.0,0.4700356511195468,0.6421332814696543
log_hl,adjusted,2023-03,1,30862,0.6522981301701086,0.6522820337298382,False,50.0,0.5070749901512941,0.7163428386591969
log_hl,adjusted,2023-04,1,26818,0.4404740590652863,0.44040340566317737,False,50.0,0.3869303251715393,0.49014894413251975
log_hl,adjusted,2023-05,1,31477,0.5134870840987833,0.5136508020695459,False,50.0,0.4014576061425145,0.5892261705685203
log_hl,adjusted,2023-06,1,29308,0.4260676147577716,0.4265718230839201,False,50.0,0.36685694628036514,0.4903506292820361
log_hl,adjusted,2023-07,1,28477,0.5581806239574061,0.5581753330475234,False,50.0,0.4733580245241821,0.6115071553030593
log_hl,adjusted,2023-08,1,31715,0.47826848106706604,0.47775883738339325,False,50.0,0.3899555169174464,0.5267791017047214
log_hl,adjusted,2023-09,1,27930,0.42790145373203653,0.4280629722818679,False,50.0,0.3770872533525185,0.46624752121483204
log_hl,adjusted,2023-10,1,30333,0.46254794094617024,0.46213974388299595,False,50.0,0.4231546463753036,0.49121482810579664
log_hl,adjusted,2023-11,1,29858,0.508280510231251,0.5082926335095526,False,50.0,0.37805913025443594,0.5665531041931327
log_hl,adjusted,2023-12,1,26799,0.5196288804525371,0.5228581957496776,False,50.0,0.4744063873439234,0.5647102610736212
log_hl,adjusted,2024-01,1,30098,0.490200347578841,0.49003801331629193,False,50.0,0.4127387662686772,0.5280724720213162
log_hl,adjusted,2024-02,1,28709,0.6015237122605641,0.6020541415021681,False,50.0,0.4413810904824036,0.6546560880577288
log_hl,adjusted,2024-03,1,26817,0.5658846905763282,0.5685345263642901,False,50.0,0.47962875320551923,0.6173025084604485
log_hl,adjusted,2024-04,1,30313,0.6171030335753731,0.6168749468656922,False,50.0,0.5027729091805397,0.663889207577256
log_hl,adjusted,2024-05,1,31477,0.5250735047645914,0.5250285001444256,False,50.0,0.46025863660724897,0.605607213632029
log_hl,adjusted,2024-06,1,26470,0.4965426262333245,0.4972021364309939,False,50.0,0.4095972582631108,0.5422593751080814
log_hl,adjusted,2024-07,1,31216,0.6228516729900018,0.6228708106867847,False,50.0,0.5886269634288944,0.6751343492157011
log_hl,adjusted,2024-08,1,30326,0.7203273734761306,0.7202490250618201,False,50.0,0.6216698137145955,0.7627336945389035
log_hl,adjusted,2024-09,1,27925,0.5450575588047504,0.5450815071447065,False,50.0,0.48750247250797646,0.5887054343795857
log_hl,adjusted,2024-10,1,31714,0.49912618187097674,0.49915269028470355,False,50.0,0.43714479334323236,0.5389110994818096
log_hl,adjusted,2024-11,1,28477,0.5807209632361287,0.58069035688085,False,50.0,0.5014938767741582,0.6443199904418836
log_hl,adjusted,2024-12,1,28719,0.6299216167654198,0.6296469515994784,False,50.0,0.5468627433608553,0.7155823224694764
log_hl,adjusted,2025-01,1,29628,0.602467141258411,0.6024349225372142,False,50.0,0.5218938708296597,0.642272358579195
log_hl,adjusted,2025-02,1,27340,0.6444344592105268,0.6411511153259537,False,50.0,0.5722837562153154,0.6828701900397987
log_hl,adjusted,2025-03,1,27577,0.5566723676307302,0.5565422655226272,False,50.0,0.488498224853611,0.5916090171945906
log_hl,adjusted,2025-04,1,28953,0.7333947943356125,0.7313355879133145,False,50.0,0.6259485977431695,0.7669730197263723
log_hl,adjusted,2025-05,1,30098,0.5378174928342017,0.537060058858186,False,50.0,0.4870411771745645,0.5666795192415779
log_hl,adjusted,2025-06,1,19948,0.5616003736523383,0.5616448646180995,False,50.0,0.4396390242969183,0.6364483938698035
log_hl,adjusted,2019-12,5,6911,0.31187280251790656,0.31196088033766484,False,,,
log_hl,adjusted,2020-01,5,29441,0.5162526312614062,0.5080471003298217,False,,,
log_hl,adjusted,2020-02,5,26883,0.7076665741011314,0.7042321676839451,False,,,
log_hl,adjusted,2020-03,5,25326,0.5536738841800714,0.5472277545973131,False,,,
log_hl,adjusted,2020-04,5,28436,0.45284545516464825,0.4500389991529826,False,,,
log_hl,adjusted,2020-05,5,28236,0.35964662992088164,0.35807769893800284,False,,,
log_hl,adjusted,2020-06,5,28149,0.4354620790979332,0.43280607423378326,False,,,
log_hl,adjusted,2020-07,5,30929,0.3261424474465217,0.32111588158963267,False,,,
log_hl,adjusted,2020-08,5,28455,0.3478454028189363,0.34529148081839756,False,,,
