group_type,group,lag,n_pairs,rho,beta,insufficient_sample
year_month,2022-11,1,29201,0.016341782301801406,0.016338976101023885,False
year_month,2022-12,1,28140,0.01688107223938985,0.017195842054253275,False
year_month,2023-01,1,28698,0.0011005660485412427,0.001100437788107758,False
year_month,2023-02,1,27320,-0.006259132945094003,-0.006256620368959244,False
year_month,2023-03,1,30802,-0.0023199818810444,-0.002318373447880814,False
year_month,2023-04,1,26798,0.0035192499735267517,0.0035184450756822134,False
year_month,2023-05,1,31454,0.0022538316894863525,0.0022534352254557407,False
year_month,2023-06,1,29268,-0.0007938983731725801,-0.0007944462737888274,False
year_month,2023-07,1,28455,-0.00034768552318652,-0.0003475793788105927,False
year_month,2023-08,1,31691,-0.03365107763875141,-0.033627107517972245,False
year_month,2023-09,1,27891,-0.0053249667815762625,-0.0053228719961214725,False
year_month,2023-10,1,30309,-0.028638601784347708,-0.02861705347278837,False
year_month,2023-11,1,29836,-0.018495057455364783,-0.018488093473185842,False
year_month,2023-12,1,26742,-0.028167019706466005,-0.028157216194913976,False
year_month,2024-01,1,30076,0.028670467802596727,0.02866630964114838,False
year_month,2024-02,1,28687,0.019864148316442176,0.01986985110696332,False
year_month,2024-03,1,26791,0.010571989677858202,0.010592061391981988,False
year_month,2024-04,1,30291,-0.0039757484554354405,-0.003972700371872969,False
year_month,2024-05,1,31454,-0.007920082432726315,-0.007919132992538356,False
year_month,2024-06,1,26395,0.009908759171243911,0.009906600013451729,False
year_month,2024-07,1,31191,0.012952421739140269,0.012955465776978837,False
year_month,2024-08,1,30302,0.013069708481133476,0.01305764308291334,False
year_month,2024-09,1,27885,0.0006531319432960588,0.0006532418936171047,False
year_month,2024-10,1,31690,0.01158823454792224,0.011576345513030493,False
year_month,2024-11,1,28455,0.001789090079205104,0.001788194168869727,False
year_month,2024-12,1,28698,-0.009301654641052577,-0.009298693343854662,False
year_month,2025-01,1,29604,0.016377858146451065,0.016368537744201123,False
year_month,2025-02,1,27320,-0.020707940016198332,-0.020702699786908182,False
year_month,2025-03,1,27555,-0.0024784422779674715,-0.0024772507383572268,False
year_month,2025-04,1,28930,-0.0018706777388486967,-0.0018676715274249512,False
year_month,2025-05,1,30076,0.01351107387704561,0.013440736037031316,False
year_month,2025-06,1,19911,-0.013922422554491656,-0.013930437198730867,False
