lag,rho,beta,n_pairs,estimable,series,bartlett_se
959,0.0003552633570686758,0.0008107199829613784,524565,True,r_1m,0.0007256497132281669
960,0.0037194815626776442,0.008431441324939205,523219,True,r_1m,0.0007256498040753781
961,0.001667740838470323,0.0037709215605823436,521873,True,r_1m,0.0007256597620859349
962,0.0008547089160290682,0.0019280098103123993,520527,True,r_1m,0.0007256617640731977
963,-0.00045047318194729264,-0.001014493663898392,519181,True,r_1m,0.000725662289896581
964,-0.0033427376466311173,-0.007516890387603995,517835,True,r_1m,0.0007256624359598808
965,0.0019265183158824744,0.00432247154001431,516489,True,r_1m,0.0007256704787245229
966,0.0034009157951328706,0.007615891471576337,515143,True,r_1m,0.0007256731501548597
967,0.001956153397503201,0.004370917720692751,513798,True,r_1m,0.0007256814751892589
968,-0.0016942308418956746,-0.003779356529973133,512453,True,r_1m,0.0007256842293975391
969,2.9076394492849285e-06,6.475148470563384e-06,511108,True,r_1m,0.0007256862954183297
970,0.006377660552198349,0.014163849291778512,509763,True,r_1m,0.0007256862954244148
971,-0.00234061119900731,-0.0051859382377033095,508418,True,r_1m,0.0007257155708315359
972,-0.00324370374002557,-0.007172299573153538,507073,True,r_1m,0.0007257195138495407
973,0.0009690637371742247,0.0021385236542502332,505728,True,r_1m,0.0007257270865210865
974,-0.0024121226827516873,-0.00531550158900722,504383,True,r_1m,0.0007257277624001193
975,-0.0026042374613361465,-0.00572912717567405,503038,True,r_1m,0.0007257319499656776
976,0.002975994865444971,0.006532112424196188,501693,True,r_1m,0.0007257368311059015
977,-0.0037876393944782714,-0.00829759486681302,500348,True,r_1m,0.0007257432052387089
978,0.006214848237836555,0.013578884391185412,499003,True,r_1m,0.0007257535302136459
979,-0.0009943428257111848,-0.0021698547467247165,497658,True,r_1m,0.0007257813274363144
980,-0.0007806948593653624,-0.0017001499978513744,496313,True,r_1m,0.0007257820389841626
981,-0.003451318392686884,-0.007504846667943147,494968,True,r_1m,0.0007257824776099044
982,0.0026294480305103967,0.005706873146917739,493623,True,r_1m,0.0007257910499389341
983,0.002612290101274859,0.0056602454476740735,492278,True,r_1m,0.0007257960256357573
984,0.0010142049331263716,0.002194177893746178,490933,True,r_1m,0.0007258009365751966
985,-0.005867262006069135,-0.012676337425015007,489588,True,r_1m,0.0007258016768134349
986,-0.0023062054421797125,-0.0049757231923666986,488243,True,r_1m,0.0007258264500876453
987,-0.0010370985068944953,-0.002234805207525871,486899,True,r_1m,0.0007258302774525818
988,0.00028083128939175816,0.0006042459677571378,485555,True,r_1m,0.0007258310514553786
989,0.0009531379772906863,0.0020473219043151076,484211,True,r_1m,0.0007258311082089571
990,0.002112122165328905,0.004526985561018499,482868,True,r_1m,0.0007258317619618131
991,-0.0030682527772929783,-0.006564293694182206,481525,True,r_1m,0.0007258349722126163
992,0.0009362767419710622,0.001999921123320035,480182,True,r_1m,0.000725841746758362
993,0.003939616587922092,0.008404174255094796,478839,True,r_1m,0.0007258423775764863
994,-0.001440990967380586,-0.0030700491997706168,477496,True,r_1m,0.0007258535462109471
995,0.0007089160102345301,0.0015088516841112365,476153,True,r_1m,0.0007258550404183752
996,-0.0008695983243301355,-0.0018474971700138047,474811,True,r_1m,0.0007258554020591477
997,-0.002791141115668684,-0.0059213286432762335,473469,True,r_1m,0.0007258559462170448
998,0.00159103352656796,0.0033697854608057084,472127,True,r_1m,0.0007258615521680343
999,0.0014042991993460923,0.0029714981669145602,470785,True,r_1m,0.0007258633737224461
1000,-0.0018954336069413342,-0.004004423629126921,469444,True,r_1m,0.000725864792785892
1001,-0.0014281550146208813,-0.003013334322032927,468104,True,r_1m,0.0007258673780116351
1002,-0.00013093132950228116,-0.00027603414193525276,466765,True,r_1m,0.000725868845689703
1003,-0.0010984670233844362,-0.002313297803894244,465427,True,r_1m,0.0007258688580254888
1004,-0.0020701783236449674,-0.004355672290850335,464089,True,r_1m,0.000725869726292793
1005,-0.0051016193513158834,-0.010721891246022346,462751,True,r_1m,0.0007258728101462433
1006,0.003338767630007768,0.007005984705701328,461414,True,r_1m,0.0007258915379907736
1007,0.003513995641068749,0.007363280589046272,460077,True,r_1m,0.0007258995591304574
1008,0.0007730048465308837,0.001617699646160791,458740,True,r_1m,0.0007259084442048904
